916631785, 165,2607,2252,2402,2620,2663,1330,0
916633785,1823,2163,3392,3202,2185,3238, 968,0
916635785,3278,1817,3894,2659,1837,2687,1218,0
916637785,3340,1628,3250,2475,2194,2522,1431,0
916639785,2741,1819,3586,2812,2777,3303,1742,0
916641785,2202,2586,4095,2446,2315,2747,1234,0
916643785,1560,2171,4095,2648,1928,3961,1020,0
916645785,1060,1817,3404,2448,2065,3317,1068,0
916647785, 671,2865,2833,3805,3618,2773,1497,0
916649785, 383,2392,2348,3168,3001,2334,1210,0
916651785,2285,1998,1980,2628,2508,2055,1120,0
916653785,4095,1671,1703,2198,2081,1931,1066,0
916655785,4095,1409,4095,2043,1934,2019,1044,0
916657785,4095,1893,3827,1720,1861,1971,1043,0
916659785,3257,1590,3789,1786,1586,2607,1041,0
916661785,2378,1343,3139,2579,1565,2169,1131,0
916663786,1698,2356,2612,2122,1469,2105,1232,0
916665786,1165,2605,3074,3091,3068,2493,1083,0
916667786, 763,2172,2575,2576,2553,2087, 943,0
916669786,3716,2325,2391,2459,2128,2287,1181,0
916671785,4095,1941,1974,2059,1793,1921,1082,0
916673786,4095,1641,2713,2291,1507,2099,1297,0
916675786,4095,1690,2508,2472,1275,1957, 934,0
916677786,3745,1435,2601,2056,1386,2325, 862,0
916679786,2761,1185,2236,3124,1782,2473, 899,0
916681786,1996,2451,2978,2796,2486,2726, 820,0
916683786,1403,2028,2479,3808,2084,2775,1117,0
916685786, 944,1713,2166,3152,1746,2306, 831,0
916687786,4095,2251,2025,2918,1637,2742, 907,0
916689786,4048,1880,2515,2418,3099,2263,1328,0
916691786,4095,1582,2961,2028,2986,1913, 958,0
916693786,4095,1551,2465,2082,2489,2427,1008,0
916695786,3477,1316,2257,2792,2061,2118,1073,0
916697786,2554,1111,1893,2690,1992,1782,1162,0
916699786,1835,2163,4095,3931,3004,3791, 843,0
916701786,1278,1807,3442,3613,2426,3162, 986,0
916703786,2264,2457,2911,3016,2019,2625, 946,0
916705786,4095,2050,3934,4095,1695,2198, 832,0
916707786,4095,1724,3291,3584,2554,1840,1069,0
916709786,4095,1762,2801,4095,2137,1924, 791,0
916711786,4005,1828,2304,4013,1883,1650,1011,0
916713786,2973,1535,2647,3326,1571,2066, 858,0
916715786,2158,1743,3787,2754,3671,2364, 972,0
916717786,1525,1593,3161,2960,3093,2493, 902,0
916719786,1034,2124,2942,4095,2588,2190, 961,0
916721786,3317,2995,2473,3979,2860,1841, 828,0
916723786,4093,2501,4095,3792,2374,1986,1007,0
916725786,4095,2074,2973,4095,2428,2339, 927,0
916727786,4095,2199,2475,4062,2028,1943, 924,0
916729786,3684,1804,2068,3666,2237,2199,1136,0
916731786,2713,1542,1728,3436,2366,2057, 876,0
916733786,1959,2246,3727,4095,2469,2798, 908,0
916735786,1374,1413,3099,4095,2275,2324, 930,0
916737786,1002,3090,2575,3665,2391,2475,1030,0
916739786,4095,2538,3067,4095,2579,2255,1319,0
916741796,3838,2084,4095,4095,4095,3454, 938,1
916743796,4095,1765,4095,3782,3797,2860, 707,1
916745796,4095,1566,4095,3716,3395,2389,1107,1
916747786,3164,3611,3641,3088,2831,1998, 996,0
916749786,2307,3603,4095,2565,2348,1673, 858,0
916751786,1644,4095,4095,2136,1972,1398, 854,0
916753787,1131,3626,4095,2299,1663,1261, 933,0
916755786,4095,3897,4095,1917,1403,1149, 900,0
916757786,4095,4095,3544,1605,1181, 983, 783,0
916759786,4095,4095,2949,1353,1011,1083, 870,0
916761786,4006,4095,2456,1154, 874,1104,1130,0
916763786,2971,4095,2055, 984, 761, 930, 856,0
916765800,2163,4095,1720, 886, 858, 812,1168,0
916767793,1748,3694,1451, 770,1182,1165,1006,0
916769791,2276,3063,1228, 664,1002, 992,1039,0
916771787,1940,2543,1043, 576, 867,1010, 952,0
916773787,1354,2122, 894, 652, 791,1053, 990,0
916775787, 910,3063,1476,1140, 753,1345,1214,0
916777800, 668,3239,1467, 973, 939,1443,1041,0
916779791,3649,2696,1243, 873, 986,1394, 982,0
916781800,4095,2238,1053, 745, 842,1451,1138,0
916783792,4095,1872, 895, 659, 771,1231,1246,0
916785792,3605,1580, 774, 629,1096,1051, 946,0
916787791,2652,1324, 682, 693, 948,1092,1206,0
916789787,1912,1163, 844, 998, 817,1288, 910,0
916791787,1341,1631,1286, 945, 784,1483,1053,0
916793787,2760,1617,1142, 823, 861,1262, 960,0
916795800,4095,1387, 978, 709, 877,1063,1208,0
916797793,4095,1227, 843, 758,1096,1858, 913,0
916799792,4095, 996, 892, 657, 942,1554,1269,0
916801793,3681, 844,1097, 884,1140,1666, 973,0
916803791,2715, 740,1203,1072, 977,1406, 979,0
916805787,1960,1229,1313,1349,1121,1671,1098,0
916807787,1375,1275,1304,1279, 960,1440,1347,0
916809787,2511,1082,1105,1090, 829,1575,1204,0
916811800,4095, 925,1857,1362,1327,1567,1202,0
916813791,4095,1431,1557,1159,1122,1717,1391,0
916815787,3853,1149,1321,1496, 967,1883,1274,0
916817787,2848, 986,1121,1701,1605,1600,1325,0
916819787,2064, 851,1769,1422,1434,1989,1224,0
916821787,1452, 956,1859,1677,1323,2261,1763,0
916823787, 981,1198,1563,1711,1127,2043,1274,0
916825787,2025,1024,1766,2030,1511,2448,1671,0
916827787,3459, 871,3048,1693,1324,2028,1217,0
916829787,3829,1852,2529,1429,1637,1984,1818,0
916831787,3393,1554,2117,2471,1562,1642,1479,0
916833787,2484,1310,1771,2064,1472,2250,1331,0
916835787,1786,1113,2408,2172,1367,2669,1248,0
916837787,1235,1205,2292,2206,3103,2670,1267,0
916839787, 817,1516,2818,3012,2577,3413,1790,0
916841787,1677,1471,2354,3029,2148,2354,1282,0
916843787,3657,1235,1969,3125,2599,2131,1158,0
916845787,4012,1323,4095,3266,2288,2157,1341,0
916847787,3669,2486,3834,2979,2657,2759,1400,0
916849787,2699,2080,3166,2730,2221,2651,1562,0
916851787,1946,1726,2642,2341,2017,2388,1483,0
916853787,1358,1463,2544,1983,2915,2137,1074,0
916855787, 912,1231,4095,3435,2435,2520,1334,0
916857807, 968,1339,3711,2852,2024,2098,1120,0
916859787,4095,1232,3252,3149,1707,2715,1753,0
916861787,4095,1058,2990,3320,1583,2256,1255,0
916863787,4095,2531,3101,2764,1338,1894,1180,0
916865787,4017,2121,3226,3107,1725,2784,1137,0
916867787,2980,1763,2152,2587,1450,2322,1227,0
916869787,2166,1495,1775,2153,1412,2394,1013,0
916871787,1534,1257,1983,1897,2798,2658,1220,0
916873787,1041,1076,2425,2647,2336,2663,1362,0
916875787,3511,1771,2051,2215,1954,2374,1214,0
916877787,4095,1610,1869,1855,1641,1986,1378,0
916879787,4095,1401,2029,1564,2818,2647,1145,0
916881787,4095,2294,1681,1359,2353,2466,1056,0
916883787,3813,1909,1443,1294,1965,2054, 925,0
916885787,2815,1611,1604,1087,1646,1986,1259,0
916887787,2042,1356,2506,1581,2023,2381,1086,0
916889787,1430,1147,2097,1654,2194,2231, 923,0
916891787, 961,1257,1806,1524,1839,2776, 936,0
916893787,4095,2245,1521,1793,1938,2531, 864,0
916895787,4095,1847,1442,1582,2581,2124, 830,0
916897787,4095,1722,1995,1836,2153,1765, 960,0
916899787,4095,1857,1672,1550,1804,2048, 693,0
916901787,3433,1580,2291,2084,1519,1885, 927,0
916903787,2516,1762,1910,1745,1988,2757, 834,0
916905787,1807,1496,2297,1984,2125,2638,1081,0
916907787,1251,1264,1917,1939,1901,2354,1160,0
916909787,2619,2294,3356,2349,1601,2093,1241,0
916911787,4095,2871,2775,1967,1340,1944, 954,0
916913787,4064,2394,3002,1689,1778,1858, 833,0
916915787,4095,2000,2496,1489,1729,1572,1506,0
916917787,4094,1677,2088,1924,1790,1320, 858,0
916919787,3046,1420,3236,2227,1725,2123, 814,0
916921787,2218,1855,2687,1859,3087,2284, 996,0
916923787,1570,1795,2838,2520,2573,2502, 847,0
916925787,1072,1315,3428,2101,2154,2092,1217,0
916927787,4095,3092,2843,2738,2057,1759, 862,0
916929787,4095,2259,2684,2773,1730,2122, 922,0
916931787,4095,1891,2238,2470,3221,2360,1062,0
916933787,4095,1585,2361,3121,2682,2549,1213,0
916935787,3582,1914,3918,2589,2350,2358, 853,0
916937787,2635,1727,4095,4095,1963,1957, 899,0
916939787,1894,2257,3734,3414,3158,3202, 961,0
916941787,1328,1484,3098,2830,2627,2657, 919,0
916943787,1659,1292,2620,3101,2367,2215, 947,0
916945787,4095,2477,2195,2659,1985,2017, 905,0
916947787,4046,2070,2107,3814,2612,2478,1066,0
916949787,4095,1736,1988,3161,2185,2071,1105,0
916951787,4095,1888,1662,3507,2280,1900, 965,0
916953787,3076,1234,4095,3349,2091,2162, 911,0
916955787,2238,1530,4095,3712,4095,2800, 946,0
916957787,1583,4013,3609,3334,3407,2316, 809,0
916959787,1080,3327,4095,3138,3375,1955, 896,0
916961787,3530,3620,3980,2833,2794,1632,1141,0
916963787,4095,3617,4095,2357,2334,1381, 815,0
916965787,4095,4095,4095,3014,1960,1160, 868,0
916967787,3964,4095,4095,2683,1645,1022, 907,0
916969787,2935,4095,4095,2236,1393,1031,1060,0
916971787,2135,4095,4025,1870,1175,1172, 924,0
916973787,1503,4095,3335,1565,1005,1440, 773,0
916975787,1021,3784,2773,1325, 865,1257, 993,0
916977801, 646,4095,2315,1235, 900,1071, 885,0
916979790,4095,4095,1934,1299, 833, 930, 960,0
916981787,4005,3867,1628,1103, 812,1056,1087,0
916983787,4095,3175,1373, 937,1053,1160,1144,0
916985800,4095,2662,1166, 801, 903,1079, 855,0
916987791,3137,2856, 989, 692, 789, 958,1184,0
916989787,2300,3193,1723, 945, 923,1124,1138,0
916991787,1631,3599,1725,1060, 949,1120,1184,0
916993787,3216,3007,1456, 906, 821,1362,1056,0
916995787,3686,2483,1231, 789,1191,1299,1089,0
916997800,4095,2087,1053, 683,1022,1151,1000,0
916999793,4095,1716, 902, 839,1170,1681,1102,0
917001793,3819,1464, 774, 727, 997,1420,1074,0
917003791,2819,1241,1199, 912, 877,1489,1018,0
917005787,2041,1191,1575,1041, 959,2009,1380,0
917007787,1439,2214,1487,1273, 853,1688,1586,0
917009800,4095,1849,1266,1081, 829,1415,1234,0
917011792,4068,1557,1075, 927,1216,1263,1203,0
917013792,4095,1313, 926,1340,1435,1074, 997,0
917015792,4095,1113, 796,1132,1490,1359,1095,0
917017791,3098, 947, 833, 962,1268,1696,1056,0
917019787,2255, 817,1157, 833,1247,1448,1048,0
917021787,1612, 747,1351, 940,1055,1824,1081,0
917023787,1096, 648,1376,1441,1348,1552,1569,0
917025787,2130, 985,1184,1380,1596,1988, 954,0
917027787,3795, 848,1908,1371,1346,1680,1263,0
917029787,3915,1020,1608,1158,1307,1466,1746,0
917031787,3492, 877,1353,1034,1387,1751,1685,0
